iter	Passed	Remaining
0	178	178056
1	190	95109
2	199	66344
3	203	50731
4	205	40908
5	210	34877
6	214	30385
7	218	27058
8	223	24605
9	226	22392
10	228	20529
11	231	19032
12	239	18185
13	244	17240
14	257	16911
15	260	16031
16	262	15200
17	281	15348
18	284	14706
19	286	14049
20	289	13502
21	300	13371
22	305	12982
23	308	12529
24	309	12087
25	318	11919
26	319	11522
27	322	11206
28	326	10925
29	327	10598
30	334	10452
31	336	10167
32	340	9967
33	347	9866
34	348	9622
35	354	9480
36	362	9432
37	364	9215
38	366	9022
39	371	8909
40	372	8722
41	377	8606
42	388	8642
43	390	8478
44	391	8318
45	398	8264
46	400	8116
47	405	8038
48	406	7897
49	408	7763
50	410	7632
51	414	7562
52	417	7459
53	419	7357
54	421	7243
55	423	7143
56	428	7088
57	434	7055
58	436	6964
59	439	6890
60	441	6797
61	448	6777
62	449	6686
63	453	6628
64	455	6549
65	462	6549
66	464	6468
67	467	6407
68	469	6329
69	475	6311
70	477	6241
71	478	6167
72	482	6121
73	487	6095
74	489	6034
75	490	5967
76	494	5925
77	495	5861
78	501	5850
79	503	5791
80	506	5752
81	509	5708
82	517	5713
83	518	5657
84	519	5597
85	530	5641
86	532	5583
87	535	5547
88	537	5500
89	538	5449
90	540	5401
91	544	5373
92	546	5325
93	547	5276
94	549	5234
95	551	5189
96	556	5185
97	566	5217
98	569	5180
99	573	5161
100	586	5223
101	595	5241
102	599	5216
103	614	5292
104	618	5274
105	620	5233
106	626	5231
107	639	5283
108	642	5255
109	649	5259
110	654	5238
111	660	5233
112	664	5216
113	667	5184
114	668	5147
115	678	5170
116	682	5148
117	686	5133
118	699	5176
119	701	5140
120	710	5163
121	714	5141
122	715	5102
123	726	5130
124	730	5112
125	734	5093
126	736	5059
127	737	5022
128	739	4995
129	753	5044
130	757	5027
131	767	5049
132	771	5029
133	774	5005
134	778	4990
135	781	4964
136	794	5002
137	795	4970
138	805	4989
139	807	4960
140	809	4929
141	816	4932
142	818	4903
143	821	4883
144	823	4855
145	833	4873
146	836	4854
147	838	4824
148	849	4849
149	850	4820
150	861	4843
151	875	4883
152	879	4870
153	889	4884
154	892	4865
155	894	4838
156	895	4809
157	899	4792
158	902	4776
159	910	4778
160	912	4756
161	915	4737
162	917	4713
163	925	4717
164	927	4695
165	929	4669
166	936	4672
167	938	4647
168	940	4622
169	942	4600
170	955	4630
171	957	4609
172	971	4644
173	974	4623
174	977	4610
175	983	4602
176	995	4630
177	997	4606
178	1011	4639
179	1012	4614
180	1013	4587
181	1021	4592
182	1023	4568
183	1026	4550
184	1027	4526
185	1034	4526
186	1036	4504
187	1039	4489
188	1041	4468
189	1047	4465
190	1049	4443
191	1053	4432
192	1054	4409
193	1062	4414
194	1064	4393
195	1070	4393
196	1077	4391
197	1079	4372
198	1087	4378
199	1089	4358
200	1091	4339
201	1093	4318
202	1094	4298
203	1098	4285
204	1110	4308
205	1112	4287
206	1115	4274
207	1117	4253
208	1125	4260
209	1128	4245
210	1130	4227
211	1134	4218
212	1136	4200
213	1138	4180
214	1142	4169
215	1143	4150
216	1150	4150
217	1151	4132
218	1154	4116
219	1155	4098
220	1157	4079
221	1200	4205
222	1202	4188
223	1204	4171
224	1212	4176
225	1215	4162
226	1217	4146
227	1219	4128
228	1227	4132
229	1229	4115
230	1231	4098
231	1262	4178
232	1269	4180
233	1271	4163
234	1273	4145
235	1275	4128
236	1282	4127
237	1284	4112
238	1285	4094
239	1287	4076
240	1297	4085
241	1298	4068
242	1300	4050
243	1304	4042
