iter	Passed	Remaining
0	60	60710
1	62	31387
2	64	21599
3	68	17068
4	70	14020
5	72	11952
6	78	11201
7	81	10101
8	83	9151
9	84	8388
10	91	8201
11	93	7736
12	95	7264
13	104	7327
14	109	7160
15	110	6818
16	112	6509
17	116	6344
18	119	6155
19	121	5962
20	123	5770
21	125	5599
22	128	5439
23	130	5290
24	132	5155
25	141	5299
26	149	5397
27	151	5266
28	153	5136
29	155	5020
30	158	4965
31	161	4888
32	163	4792
33	165	4704
34	167	4613
35	169	4526
36	172	4482
37	174	4405
38	177	4370
39	179	4305
40	181	4236
41	182	4167
42	186	4149
43	187	4084
44	189	4022
45	192	3992
46	194	3950
47	196	3898
48	198	3847
49	201	3830
50	203	3782
51	205	3754
52	207	3713
53	209	3668
54	211	3626
55	212	3589
56	215	3559
57	217	3528
58	219	3503
59	225	3530
60	227	3503
61	229	3470
62	232	3455
63	240	3516
64	242	3485
65	244	3454
66	245	3423
67	249	3417
68	252	3406
69	254	3382
70	256	3352
71	257	3321
72	261	3314
73	262	3286
74	264	3258
75	267	3249
76	269	3231
77	271	3205
78	272	3178
79	275	3173
80	277	3148
81	279	3125
82	281	3109
83	283	3091
84	286	3079
85	287	3057
86	291	3061
87	293	3039
88	295	3023
89	297	3007
90	299	2988
91	300	2970
92	303	2955
93	306	2949
94	308	2938
95	311	2934
96	316	2942
97	317	2925
98	319	2907
99	322	2905
100	326	2903
101	328	2889
102	330	2875
103	331	2858
104	336	2864
105	337	2847
106	340	2843
107	342	2831
108	344	2819
109	346	2804
110	348	2789
111	351	2786
112	355	2793
113	359	2793
114	362	2790
115	367	2797
116	370	2798
117	373	2791
118	375	2783
119	380	2788
120	382	2775
121	385	2774
122	387	2761
123	389	2748
124	395	2769
125	401	2785
126	405	2784
127	411	2803
128	424	2866
129	432	2895
130	434	2881
131	436	2872
132	438	2857
133	439	2843
134	441	2829
135	443	2815
136	450	2838
137	452	2827
138	456	2829
139	461	2835
140	464	2828
141	466	2816
142	469	2813
143	471	2800
144	473	2792
145	480	2811
146	485	2817
147	497	2862
148	499	2852
149	503	2855
150	511	2873
151	512	2860
152	514	2848
153	517	2841
154	521	2844
155	524	2838
156	526	2826
157	531	2831
158	543	2872
159	547	2875
160	548	2860
161	552	2859
162	555	2852
163	557	2841
164	559	2829
165	565	2841
166	572	2856
167	574	2845
168	580	2855
169	585	2858
170	591	2866
171	594	2864
172	596	2851
173	603	2866
174	605	2855
175	609	2855
176	611	2844
177	617	2850
178	619	2841
179	621	2832
180	625	2831
181	632	2843
182	634	2833
183	639	2835
184	641	2825
185	648	2836
186	650	2827
187	654	2826
188	656	2819
189	665	2835
190	667	2825
191	670	2820
192	672	2810
193	676	2812
194	678	2802
195	680	2791
196	684	2789
197	685	2778
198	687	2767
199	691	2766
200	693	2757
201	695	2747
202	699	2745
203	700	2734
204	702	2723
